﻿1180104113609213969	,4099	,6	,683.16666666667	,4099"	
﻿1180108172644963884	,3997	,3	,1332.3333333333	,3996.9999999999"	
﻿1180101030125039563	,1999	,7	,285.57142857143	,1999"	
﻿1180104145009064114	,1990	,3	,663.33333333333	,1990"	
﻿1180104182800972315	,1990	,3	,663.33333333333	,1990"	
﻿1180105083425619981	,1990	,3	,663.33333333333	,1990"	
﻿1180105085457876144	,1990	,3	,663.33333333333	,1990"	
﻿1180105120256585696	,1990	,3	,663.33333333333	,1990"	
﻿1180105151030397161	,1990	,3	,663.33333333333	,1990"	
﻿1180106140910651420	,1990	,3	,663.33333333333	,1990"	
﻿1180106144611713673	,1990	,3	,663.33333333333	,1990"	
﻿1180110074055023630	,1988	,3	,662.66666666667	,1988"	
﻿1180105083948810223	,3388	,3	,1129.3333333333	,3387.9999999999"	
﻿1180110233821360701	,3388	,3	,1129.3333333333	,3387.9999999999"	
﻿1180107150919385941	,2599	,3	,866.33333333333	,2599"	
﻿1180108183138007790	,2180	,3	,726.66666666667	,2180"	
﻿1180109003742162458	,2180	,3	,726.66666666667	,2180"	
﻿1180109101238710068	,2180	,3	,726.66666666667	,2180"	
﻿1180109103746329829	,2150	,3	,716.66666666667	,2150"	
﻿1180105112142139162	,1990	,3	,663.33333333333	,1990"	
﻿1180105121432938387	,1990	,3	,663.33333333333	,1990"	
﻿1180105132612929894	,1990	,3	,663.33333333333	,1990"	
﻿1180105141046678437	,1990	,3	,663.33333333333	,1990"	
﻿1180105142330529979	,1990	,3	,663.33333333333	,1990"	
﻿1180105160909973030	,1990	,3	,663.33333333333	,1990"	
﻿1180105174023532632	,1990	,3	,663.33333333333	,1990"	
﻿1180105193852897232	,1990	,3	,663.33333333333	,1990"	
﻿1180105222517590998	,1990	,3	,663.33333333333	,1990"	
﻿1180106100507837478	,1990	,3	,663.33333333333	,1990"	
﻿1180106113150583550	,1990	,3	,663.33333333333	,1990"	
﻿1180106150847390000	,1990	,3	,663.33333333333	,1990"	
﻿1180106164311131737	,1990	,3	,663.33333333333	,1990"	
﻿1180106202933535775	,1990	,3	,663.33333333333	,1990"	
﻿1180107063029034249	,1990	,3	,663.33333333333	,1990"	
﻿1180111065621101013	,1988	,3	,662.66666666667	,1988"	
﻿1180111055303525275	,1988	,3	,662.66666666667	,1988"	
﻿1180109191343394303	,1988	,3	,662.66666666667	,1988"	
﻿1180109084133625930	,1988	,3	,662.66666666667	,1988"	
﻿1180104221514128298	,1990	,3	,663.33333333333	,1990"	
﻿1180107083837780166	,1990	,3	,663.33333333333	,1990"	
﻿1180105112803888095	,2000	,3	,666.66666666667	,2000"	
﻿1180105211815907093	,1990	,3	,663.33333333333	,1990"	
﻿1180106120815196668	,1990	,3	,663.33333333333	,1990"	
﻿1180106182641808853	,1990	,3	,663.33333333333	,1990"	
